OficinaPertenece;CategoriaCliente;FechaRegistro;CodigoCliente;NombresCliente
ENS. NACO;CORPORATIVO;2/5/93 0:00;1;CTE-1 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;15/2/95 0:00;2;CTE-2 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;11/3/96 0:00;3;CTE-3 PAQUETERIA CORPORATIVO
ENS. NACO;INDIVIDUAL;28/1/98 0:00;4;CTE-4 PAQUETERIA INDIVIDUAL
ENS. NACO;CORPORATIVO;21/4/98 0:00;5;CTE-5 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;1/10/98 0:00;6;CTE-6 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;1/10/02 16:17;7;CTE-7 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;13/6/13 14:27;8;CTE-8 PAQUETERIA CORPORATIVO
ENS. NACO;INDIVIDUAL;8/10/04 9:15;9;CTE-9 PAQUETERIA INDIVIDUAL
ENS. NACO;CORPORATIVO;11/4/06 9:40;10;CTE-10 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;1/10/08 17:37;11;CTE-11 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;26/4/12 15:55;12;CTE-12 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;1/3/13 16:44;13;CTE-13 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;30/10/13 10:59;14;CTE-14 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;31/10/13 16:44;15;CTE-15 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;24/4/14 10:42;16;CTE-16 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;26/3/15 7:45;17;CTE-17 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;18/3/16 0:00;18;CTE-18 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;30/6/16 0:00;19;CTE-19 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;10/7/17 0:00;20;CTE-20 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;24/7/17 0:00;21;CTE-21 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;9/10/17 0:00;22;CTE-22 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;1/3/18 0:00;23;CTE-23 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;6/4/18 17:55;24;CTE-24 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;29/11/22 0:00;25;CTE-25 PAQUETERIA CORPORATIVO
ENS. NACO;CORPORATIVO;15/2/23 12:29;26;CTE-26 PAQUETERIA CORPORATIVO
ENS. NACO;INDIVIDUAL;21/9/20 20:44;27;CTE-27 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;25/3/22 10:44;28;CTE-28 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;14/6/17 11:03;29;CTE-29 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;14/2/18 13:45;30;CTE-30 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;9/7/21 11:13;31;CTE-31 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;28/7/21 10:45;32;CTE-32 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;2/9/21 13:52;33;CTE-33 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;12/10/21 22:20;34;CTE-34 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;23/7/22 15:48;35;CTE-35 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;1/8/22 11:42;36;CTE-36 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;27/10/21 9:44;37;CTE-37 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;11/11/21 3:21;38;CTE-38 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;5/2/22 23:08;39;CTE-39 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;14/3/22 12:16;40;CTE-40 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;15/3/22 10:30;41;CTE-41 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;29/3/22 19:38;42;CTE-42 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;27/4/22 17:58;43;CTE-43 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;30/3/23 21:57;44;CTE-44 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;18/2/21 9:09;45;CTE-45 PAQUETERIA INDIVIDUAL
ENS. NACO;INDIVIDUAL;5/7/22 9:35;46;CTE-46 PAQUETERIA INDIVIDUAL
