DateAndTime;Line;ID;Carrier;BarCode1;BarCode2;BarCode3;BarCode4;LotNum
2023-10-11 10:46:16.743;1;12247298;UPS;NO READ;;;;3
2023-10-11 10:46:19.743;1;12247299;UPS;NO READ;;;;3
2023-10-11 10:48:15.807;1;12247300;UPS;NO READ;;;;3
2023-10-11 12:05:20.273;1;12247301;Amazon;TBAMIA526164352;;;;1
2023-10-11 12:05:24.273;1;12247302;Amazon;TBAMIA526106554;E15;;;1
2023-10-11 12:05:28.273;1;12247303;Amazon;TBAMIA526122275;;;;1
2023-10-11 12:05:32.273;1;12247304;Amazon;420330199374889677023739061465;;;;1
2023-10-11 12:05:46.273;1;12247305;Amazon;TBAMIA526146627;;;;1
2023-10-11 12:05:50.290;1;12247306;Amazon;TBAMIA526148372;;;;1
2023-10-11 12:05:56.290;1;12247307;Amazon;TBAMIA526141468;spNF3mkR1D7;;;1
2023-10-11 12:06:02.307;1;12247308;Amazon;TBAMIA526114527;;;;1
2023-10-11 12:06:07.307;1;12247309;Amazon;TBAMIA526114630;;;;1
2023-10-11 12:06:11.307;1;12247310;Amazon;TBAMIA526122839;;;;1
2023-10-11 12:06:41.307;1;12247311;UPS;420331911501;1ZX226V50357361316;;;2
2023-10-11 12:06:45.323;1;12247312;UPS;420331911501;1Z803R420307417251;E15;;2
2023-10-11 12:06:49.337;1;12247313;UPS;420331269998;1Z803R42YN07407879;42033191927489999520335810370;;2
2023-10-11 12:06:54.337;1;12247314;UPS;420331269998;1Z803R42YN07380540;42033191927489999520335810370;;2
2023-10-11 12:07:00.353;1;12247315;UPS;420331911501;1ZA81H040324169534;;;2
2023-10-11 12:07:08.353;1;12247316;UPS;420331911501;1ZAC28271304520226;;;2
2023-10-11 12:07:12.370;1;12247317;UPS;1Z4437700308037910;420331220002;;;2
2023-10-11 12:07:16.370;1;12247318;UPS;420331911501;1Z245E890301385461;;;2
2023-10-11 12:07:20.370;1;12247319;UPS;420331911501;1ZR323060334155762;;;2
2023-10-11 12:07:23.370;1;12247320;UPS;420331911501;;;;2
2023-10-11 12:07:30.370;1;12247321;UPS;E16;420331269998;1Z099Y8VYN63857979;420331919274890981468758;2
2023-10-11 12:07:34.383;1;12247322;UPS;E16;420331911501;1Z82AF320301105798;;2
2023-10-11 17:44:19.803;1;12247323;USPS;420331919205590324919114642756;;;;1
2023-10-11 17:44:25.803;1;12247324;USPS;420331919400111206215672416286;;;;1
2023-10-11 17:44:32.803;1;12247325;USPS;LE647635626GB;0012548943329;;;1
2023-10-11 17:44:38.803;1;12247326;USPS;420331919214490307971247175161;;;;1
2023-10-11 17:44:43.803;1;12247327;USPS;4203319115019400108205499360934004;;;;1
2023-10-11 17:44:47.803;1;12247328;USPS;420331919214490328168920211954;;;;1
2023-10-11 17:44:51.803;1;12247329;USPS;420331919300120111411058992979;;;;1
2023-10-11 17:44:54.803;1;12247330;USPS;420331919400111206203686957543;;;;1
2023-10-11 17:44:58.803;1;12247331;USPS;420331269374889677023733806154;;;;1
2023-10-11 17:45:02.803;1;12247332;USPS;4203319115019400108205499366281270;;;;1
2023-10-11 17:45:06.803;1;12247333;USPS;NO READ;;;;1
2023-10-11 17:45:09.803;1;12247334;USPS;NO READ;;;;1
2023-10-11 17:45:13.803;1;12247335;USPS;420331919214490324478879715743;;;;1
2023-10-11 17:45:18.820;1;12247336;USPS;420331919400111206215030695513;;;;1
2023-10-11 17:45:22.820;1;12247337;USPS;420331919212490307971247492062;;;;1
2023-10-11 17:45:29.820;1;12247338;USPS;4203319192144903402790129791449770;;;;1
2023-10-11 17:45:35.820;1;12247339;USPS;420331919334620111450004059535;;;;1
2023-10-11 17:45:40.820;1;12247340;USPS;TBAMIA526095208;;;;1
2023-10-11 17:45:47.820;1;12247341;USPS;LR074776074CN;LR074776074CN;;;1
2023-10-11 17:45:51.820;1;12247342;USPS;420331919214490344496720351548;;;;1
2023-10-11 17:45:56.820;1;12247343;USPS;4203312693346105539360000008201161;;;;1
2023-10-11 17:46:01.820;1;12247344;USPS;420331919214490324478879660586;;;;1
2023-10-11 17:46:06.820;1;12247345;USPS;4203319115019400108205499361090785;;;;1
2023-10-11 17:46:10.820;1;12247346;USPS;420331919214490307971247538690;;;;1
2023-10-11 17:46:14.820;1;12247347;USPS;420331919214490307971247160990;;;;1
2023-10-11 17:46:19.833;1;12247348;USPS;420331919214490344496517028127;;;;1
2023-10-11 17:46:23.850;1;12247349;USPS;420331919434609105155085380976;;;;1
2023-10-11 17:46:29.850;1;12247350;USPS;420331919214490344496603435693;;;;1
2023-10-11 17:46:34.850;1;12247351;USPS;420331919400111206203681325811;;;;1
2023-10-11 17:46:55.850;1;12247352;USPS;420331919214490344496516713239;;;;1
2023-10-11 17:46:59.850;1;12247353;USPS;420331919214490307971247111879;;;;1
2023-10-11 17:47:03.850;1;12247354;USPS;420331919300110944100978134613;;;;1
2023-10-12 12:44:44.213;1;12247355;USPS;420331229400116901139072704015;;;;2
2023-10-12 12:44:47.213;1;12247356;USPS;420331229400109205568862709896;;;;2
2023-10-12 12:44:52.213;1;12247357;USPS;BG2310050716930;420331229214490344496721326316;;;2
2023-10-12 12:44:56.213;1;12247358;USPS;420331229214490314027729551722;;;;2
2023-10-12 12:45:00.227;1;12247359;USPS;4203312200029400108205498218847244;;;;2
2023-10-12 12:45:04.227;1;12247360;USPS;420331229205590231080106735815;;;;2
2023-10-12 12:45:10.227;1;12247361;USPS;4203312200029400108205498218900604;;;;2
2023-10-12 12:45:13.227;1;12247362;USPS;420331229214490344496721249660;;;;2
2023-10-12 12:45:17.243;1;12247363;USPS;420331229214490344496517092760;;;;2
2023-10-12 12:45:20.260;1;12247364;USPS;420331229214490233605871621249;;;;2
2023-10-12 12:45:39.290;1;12247365;UPS;420331269998;1Z803R42YN07465217;42033191927489999520335810371;;3
2023-10-12 12:45:50.307;1;12247366;UPS;spRHK3skYhc;420331911501;1Z486W190371182254;;3
2023-10-12 12:46:03.307;1;12247367;UPS;420331269998;1Z803R42YW07473522;42033191926129999520335810371;;3
2023-10-12 12:46:08.307;1;12247368;UPS;420331220002;1Z4437700300707497;;;3
2023-10-12 12:46:12.307;1;12247369;UPS;420331911501;1Z4437700330664754;;;3
2023-10-12 12:46:19.307;1;12247370;UPS;420331911501;1Z681EY20354499149;;;3
2023-10-12 12:46:24.307;1;12247371;UPS;420331269998;1Z803R42YW07468127;;;3
2023-10-12 12:46:28.307;1;12247372;UPS;420331911501;1ZX226V50357449062;;;3
2023-10-12 12:46:33.307;1;12247373;UPS;E14;spND3tDsVZR;420331911501;1ZX3A6250323643682;3
2023-10-12 12:46:53.307;1;12247374;UPS;420331911501;1Z449V590375529152;;;3
2023-10-12 12:47:13.323;1;12247375;Amazon;NO READ;;;;4
2023-10-12 12:47:18.323;1;12247376;Amazon;NO READ;;;;4
2023-10-12 12:47:32.323;1;12247377;Amazon;FSA;;;;4
2023-10-12 12:47:37.323;1;12247378;Amazon;FSA;;;;4
2023-10-12 12:47:48.323;1;12247379;Amazon;NO READ;;;;4
2023-10-12 12:47:57.323;1;12247380;Amazon;NO READ;;;;4
2023-10-12 12:48:05.323;1;12247381;Amazon;E15;;;;4
2023-10-12 12:48:17.323;1;12247382;Amazon;NO READ;;;;4
2023-10-12 12:48:22.323;1;12247383;Amazon;NO READ;;;;4
2023-10-12 12:48:32.323;1;12247384;Amazon;NO READ;;;;4
2023-10-12 12:48:36.323;1;12247385;Amazon;FRG;;;;4
2023-10-12 12:48:40.323;1;12247386;Amazon;NO READ;;;;4
2023-10-12 14:03:48.847;1;12247387;Amazon;NO READ;;;;4
2023-10-12 14:04:33.880;1;12247388;Amazon;NO READ;;;;4
2023-10-12 16:43:08.430;1;12247389;USPS;4203312292748903338851000016516793;;;;1
2023-10-12 16:45:35.460;1;12247390;USPS;NO READ;;;;1
2023-10-12 16:46:40.490;1;12247391;USPS;4203312292748927005455000433599103;;;;1
2023-10-12 16:59:47.680;1;12247392;FedEx;420331229261290109524030348040;9261290109524030348040;;;1
2023-10-12 17:01:52.760;1;12247393;USPS;NO READ;;;;2
2023-10-12 17:02:01.760;1;12247394;USPS;4203312292748927005455000432245841;;;;2
2023-10-12 17:02:06.760;1;12247395;USPS;420331229214490344496517283816;;;;2
2023-10-12 17:02:35.760;1;12247396;USPS;NO READ;;;;2
2023-10-12 17:03:13.760;1;12247397;USPS;4203312292748903338851000015982988;;;;2
2023-10-12 17:03:21.760;1;12247398;USPS;420331229214490344496517231374;;;;2
2023-10-12 17:03:29.760;1;12247399;USPS;420331229214490344496517392426;;;;2
2023-10-12 17:03:37.760;1;12247400;USPS;420331229214490344496517293914;;;;2
2023-10-12 17:03:51.760;1;12247401;USPS;420331229400111206215643758278;;;;2
2023-10-12 17:04:07.760;1;12247402;USPS;420331229214490344496517348560;;;;2
2023-10-12 17:04:19.760;1;12247403;USPS;420331229214490344496517130714;;;;2
2023-10-12 17:04:41.773;1;12247404;USPS;420331229214490344496517286138;BG2310052253204;;;2
2023-10-12 17:04:53.773;1;12247405;USPS;420331229214490344496517323529;;;;2
2023-10-13 08:15:10.897;1;12247406;Amazon;NO READ;;;;1
2023-10-13 08:15:27.943;1;12247407;Amazon;420331229374889677023790504635;spOCJ13IC1I;;;1
2023-10-13 08:15:36.957;1;12247408;Amazon;NO READ;;;;1
2023-10-13 08:15:54.990;1;12247409;Amazon;420331229274890109524091299424;9274890109524091299424;;;1
2023-10-13 08:16:04.990;1;12247410;Amazon;420331229274890109524090394403;9274890109524090394403;;;1
2023-10-13 08:16:12.990;1;12247411;Amazon;4203312292748927005455000435803468;;;;1
2023-10-13 08:16:26.990;1;12247412;Amazon;NO READ;;;;1
2023-10-13 08:16:33.990;1;12247413;Amazon;NO READ;;;;1
2023-10-13 08:17:25.020;1;12247414;Amazon;420331919214490344496517303415;BG2310051993658;;;1
2023-10-13 08:18:10.020;1;12247415;Amazon;420331919214490344496517085847;;;;1
2023-10-13 16:25:07.067;1;12247416;Amazon;NO READ;;;;1
2023-10-13 16:25:21.097;1;12247417;Amazon;NO READ;;;;1
2023-10-13 16:25:30.097;1;12247418;Amazon;NO READ;;;;1
2023-10-13 16:26:11.113;1;12247419;Amazon;NO READ;;;;2
2023-10-13 16:26:27.113;1;12247420;Amazon;NO READ;;;;2
2023-10-13 16:26:49.113;1;12247421;Amazon;TBA309170242182;;;;2
2023-10-13 16:26:57.113;1;12247422;Amazon;NO READ;;;;2
2023-10-13 16:27:02.113;1;12247423;Amazon;NO READ;;;;2
2023-10-13 16:27:08.113;1;12247424;Amazon;NO READ;;;;2
2023-10-13 16:27:18.113;1;12247425;Amazon;NO READ;;;;2
2023-10-13 16:29:26.130;1;12247426;Amazon;NO READ;;;;2
2023-10-13 16:29:42.130;1;12247427;Amazon;NO READ;;;;2
2023-10-13 16:31:08.143;1;12247428;Amazon;NO READ;;;;2
2023-10-13 16:31:15.143;1;12247429;Amazon;spRHK3h26ZK;;;;2
2023-10-14 12:26:25.677;1;12247430;Amazon;TBA309193119973;Z02;;;2
2023-10-14 12:58:56.493;1;12247431;Amazon;NO READ;;;;2
2023-10-16 08:33:48.710;1;12247432;Amazon;NO READ;;;;2
