"IDE_PEDIDO";"DES_PEDIDO"
10400;"ORDER SALES MIG100001"
10401;"ORDER SALES MIG100002"
10402;"ORDER SALES MIG100003"
10403;"ORDER SALES MIG100004"
10404;"ORDER SALES MIG100005"
10405;"ORDER SALES MIG100006"
10406;"ORDER SALES MIG100007"
10407;"ORDER SALES MIG100008"
10408;"ORDER SALES MIG100009"
10409;"ORDER SALES MIG100010"
10410;"ORDER SALES MIG100011"
10411;"ORDER SALES MIG100012"
10412;"ORDER SALES MIG100013"
10413;"ORDER SALES MIG100014"
10414;"ORDER SALES MIG100015"
10415;"ORDER SALES MIG100016"
10416;"ORDER SALES MIG100017"
10417;"ORDER SALES MIG100018"
10418;"ORDER SALES MIG100019"
10419;"ORDER SALES MIG100020"
10420;"ORDER SALES MIG100021"
10421;"ORDER SALES MIG100022"
10422;"ORDER SALES MIG100023"
10423;"ORDER SALES MIG100024"
10424;"ORDER SALES MIG100025"
10425;"ORDER SALES MIG100026"
10426;"ORDER SALES MIG100027"
10427;"ORDER SALES MIG100028"
10428;"ORDER SALES MIG100029"
10429;"ORDER SALES MIG100030"
10430;"ORDER SALES MIG100031"
10431;"ORDER SALES MIG100032"
10432;"ORDER SALES MIG100033"
10433;"ORDER SALES MIG100034"
10434;"ORDER SALES MIG100035"
10435;"ORDER SALES MIG100036"
10436;"ORDER SALES MIG100037"
10437;"ORDER SALES MIG100038"
10438;"ORDER SALES MIG100039"
10439;"ORDER SALES MIG100040"
10440;"ORDER SALES MIG100041"
10441;"ORDER SALES MIG100042"
10442;"ORDER SALES MIG100043"
10443;"ORDER SALES MIG100044"
10444;"ORDER SALES MIG100045"
10445;"ORDER SALES MIG100046"
10446;"ORDER SALES MIG100047"
10447;"ORDER SALES MIG100048"
10448;"ORDER SALES MIG100049"
10449;"ORDER SALES MIG100050"
10450;"ORDER SALES MIG100051"
10451;"ORDER SALES MIG100052"
10452;"ORDER SALES MIG100053"
10453;"ORDER SALES MIG100054"
10454;"ORDER SALES MIG100055"
10455;"ORDER SALES MIG100056"
10456;"ORDER SALES MIG100057"
10457;"ORDER SALES MIG100058"
10458;"ORDER SALES MIG100059"
10459;"ORDER SALES MIG100060"
10460;"ORDER SALES MIG100061"
10461;"ORDER SALES MIG100062"
10462;"ORDER SALES MIG100063"
10463;"ORDER SALES MIG100064"
10464;"ORDER SALES MIG100065"
10465;"ORDER SALES MIG100066"
10466;"ORDER SALES MIG100067"
10467;"ORDER SALES MIG100068"
10468;"ORDER SALES MIG100069"
10469;"ORDER SALES MIG100070"
10470;"ORDER SALES MIG100071"
10471;"ORDER SALES MIG100072"
10472;"ORDER SALES MIG100073"
10473;"ORDER SALES MIG100074"
10474;"ORDER SALES MIG100075"
10475;"ORDER SALES MIG100076"
10476;"ORDER SALES MIG100077"
10477;"ORDER SALES MIG100078"
10478;"ORDER SALES MIG100079"
10479;"ORDER SALES MIG100080"
10480;"ORDER SALES MIG100081"
10481;"ORDER SALES MIG100082"
10482;"ORDER SALES MIG100083"
10483;"ORDER SALES MIG100084"
10484;"ORDER SALES MIG100085"
10485;"ORDER SALES MIG100086"
10486;"ORDER SALES MIG100087"
10487;"ORDER SALES MIG100088"
10488;"ORDER SALES MIG100089"
10489;"ORDER SALES MIG100090"
10490;"ORDER SALES MIG100091"
10491;"ORDER SALES MIG100092"
10492;"ORDER SALES MIG100093"
10493;"ORDER SALES MIG100094"
10494;"ORDER SALES MIG100095"
10495;"ORDER SALES MIG100096"
10496;"ORDER SALES MIG100097"
10497;"ORDER SALES MIG100098"
10498;"ORDER SALES MIG100099"
10499;"ORDER SALES MIG100100"
10500;"ORDER SALES MIG100101"
10501;"ORDER SALES MIG100102"
10502;"ORDER SALES MIG100103"
10503;"ORDER SALES MIG100104"
10504;"ORDER SALES MIG100105"
10505;"ORDER SALES MIG100106"
10506;"ORDER SALES MIG100107"
10507;"ORDER SALES MIG100108"
10508;"ORDER SALES MIG100109"
10509;"ORDER SALES MIG100110"
10510;"ORDER SALES MIG100111"
10511;"ORDER SALES MIG100112"
10512;"ORDER SALES MIG100113"
10513;"ORDER SALES MIG100114"
10514;"ORDER SALES MIG100115"
10515;"ORDER SALES MIG100116"
10516;"ORDER SALES MIG100117"
10517;"ORDER SALES MIG100118"
10518;"ORDER SALES MIG100119"
10519;"ORDER SALES MIG100120"
10520;"ORDER SALES MIG100121"
10521;"ORDER SALES MIG100122"
10522;"ORDER SALES MIG100123"
10523;"ORDER SALES MIG100124"
10524;"ORDER SALES MIG100125"
10525;"ORDER SALES MIG100126"
10526;"ORDER SALES MIG100127"
10527;"ORDER SALES MIG100128"
