"IDE_PEDIDO";"DES_PEDIDO"
14281;"ORDER SALES MIG103882"
13724;"ORDER SALES MIG103325"
13158;"ORDER SALES MIG102759"
10745;"ORDER SALES MIG100346"
13375;"ORDER SALES MIG102976"
12919;"ORDER SALES MIG102520"
12239;"ORDER SALES MIG101840"
12004;"ORDER SALES MIG101605"
11518;"ORDER SALES MIG101119"
11307;"ORDER SALES MIG100908"
10615;"ORDER SALES MIG100216"
10605;"ORDER SALES MIG100206"
10473;"ORDER SALES MIG100074"
15235;"ORDER SALES MIG104836"
15104;"ORDER SALES MIG104705"
14572;"ORDER SALES MIG104173"
14383;"ORDER SALES MIG103984"
13267;"ORDER SALES MIG102868"
12580;"ORDER SALES MIG102181"
11598;"ORDER SALES MIG101199"
11541;"ORDER SALES MIG101142"
11228;"ORDER SALES MIG100829"
12501;"ORDER SALES MIG102102"
12233;"ORDER SALES MIG101834"
13975;"ORDER SALES MIG103576"
13734;"ORDER SALES MIG103335"
12549;"ORDER SALES MIG102150"
14510;"ORDER SALES MIG104111"
14011;"ORDER SALES MIG103612"
11714;"ORDER SALES MIG101315"
11544;"ORDER SALES MIG101145"
12491;"ORDER SALES MIG102092"
11994;"ORDER SALES MIG101595"
10811;"ORDER SALES MIG100412"
13183;"ORDER SALES MIG102784"
14501;"ORDER SALES MIG104102"
14275;"ORDER SALES MIG103876"
13935;"ORDER SALES MIG103536"
12375;"ORDER SALES MIG101976"
10881;"ORDER SALES MIG100482"
10445;"ORDER SALES MIG100046"
14994;"ORDER SALES MIG104595"
14638;"ORDER SALES MIG104239"
14461;"ORDER SALES MIG104062"
14402;"ORDER SALES MIG104003"
13627;"ORDER SALES MIG103228"
13125;"ORDER SALES MIG102726"
12836;"ORDER SALES MIG102437"
11766;"ORDER SALES MIG101367"
11734;"ORDER SALES MIG101335"
11578;"ORDER SALES MIG101179"
11433;"ORDER SALES MIG101034"
11413;"ORDER SALES MIG101014"
11132;"ORDER SALES MIG100733"
11022;"ORDER SALES MIG100623"
10839;"ORDER SALES MIG100440"
10797;"ORDER SALES MIG100398"
10451;"ORDER SALES MIG100052"
14992;"ORDER SALES MIG104593"
13698;"ORDER SALES MIG103299"
13245;"ORDER SALES MIG102846"
12812;"ORDER SALES MIG102413"
11875;"ORDER SALES MIG101476"
10667;"ORDER SALES MIG100268"
14539;"ORDER SALES MIG104140"
14270;"ORDER SALES MIG103871"
11233;"ORDER SALES MIG100834"
10532;"ORDER SALES MIG100133"
14614;"ORDER SALES MIG104215"
12484;"ORDER SALES MIG102085"
11364;"ORDER SALES MIG100965"
10793;"ORDER SALES MIG100394"
12034;"ORDER SALES MIG101635"
10662;"ORDER SALES MIG100263"
15318;"ORDER SALES MIG104919"
15236;"ORDER SALES MIG104837"
15127;"ORDER SALES MIG104728"
15112;"ORDER SALES MIG104713"
14962;"ORDER SALES MIG104563"
14311;"ORDER SALES MIG103912"
13146;"ORDER SALES MIG102747"
12772;"ORDER SALES MIG102373"
12730;"ORDER SALES MIG102331"
12536;"ORDER SALES MIG102137"
12087;"ORDER SALES MIG101688"
11145;"ORDER SALES MIG100746"
10860;"ORDER SALES MIG100461"
15108;"ORDER SALES MIG104709"
14861;"ORDER SALES MIG104462"
14724;"ORDER SALES MIG104325"
13895;"ORDER SALES MIG103496"
