"IDE_PEDIDO","IDE_PEDIDO_EST","DES_PEDIDO","IDE_PROVEEDOR","DES_PROVEEDOR"
10400,"SO MIG100001","ORDER SALES MIG100001","FedEx","CARRIER FedEx"
10401,"SO MIG100002","ORDER SALES MIG100002","FedEx","CARRIER FedEx"
10402,"SO MIG100003","ORDER SALES MIG100003","FedEx","CARRIER FedEx"
10403,"SO MIG100004","ORDER SALES MIG100004","FedEx","CARRIER FedEx"
10404,"SO MIG100005","ORDER SALES MIG100005","FedEx","CARRIER FedEx"
10405,"SO MIG100006","ORDER SALES MIG100006","FedEx","CARRIER FedEx"
10406,"SO MIG100007","ORDER SALES MIG100007","FedEx","CARRIER FedEx"
10407,"SO MIG100008","ORDER SALES MIG100008","FedEx","CARRIER FedEx"
10408,"SO MIG100009","ORDER SALES MIG100009","FedEx","CARRIER FedEx"
10409,"SO MIG100010","ORDER SALES MIG100010","FedEx","CARRIER FedEx"
10410,"SO MIG100011","ORDER SALES MIG100011","FedEx","CARRIER FedEx"
10411,"SO MIG100012","ORDER SALES MIG100012","FedEx","CARRIER FedEx"
10412,"SO MIG100013","ORDER SALES MIG100013","FedEx","CARRIER FedEx"
10413,"SO MIG100014","ORDER SALES MIG100014","FedEx","CARRIER FedEx"
10414,"SO MIG100015","ORDER SALES MIG100015","FedEx","CARRIER FedEx"
10415,"SO MIG100016","ORDER SALES MIG100016","FedEx","CARRIER FedEx"
10416,"SO MIG100017","ORDER SALES MIG100017","FedEx","CARRIER FedEx"
10417,"SO MIG100018","ORDER SALES MIG100018","FedEx","CARRIER FedEx"
10418,"SO MIG100019","ORDER SALES MIG100019","FedEx","CARRIER FedEx"
10419,"SO MIG100020","ORDER SALES MIG100020","FedEx","CARRIER FedEx"
10420,"SO MIG100021","ORDER SALES MIG100021","FedEx","CARRIER FedEx"
10421,"SO MIG100022","ORDER SALES MIG100022","FedEx","CARRIER FedEx"
10422,"SO MIG100023","ORDER SALES MIG100023","FedEx","CARRIER FedEx"
10423,"SO MIG100024","ORDER SALES MIG100024","FedEx","CARRIER FedEx"
