"IDE_VENTA";"IDE_PEDIDO";"IDE_CLIENTE";"IDE_FECHA";"IDE_PRODUCTO";"IDE_VENDEDOR";"NUM_UNIDADES";"NUM_PRECIO_NETO"
2022;14281;4276;"2022-07-16";"PRO12";5;1;120
1959;13724;3719;"2022-07-16";"PRO12";1;1;120
1902;13158;3153;"2022-07-16";"PRO12";1;1;120
1647;10745;740;"2022-07-16";"PRO12";1;1;120
8181;13375;3370;"2022-07-16";"PRO15";1;1;200
8117;13158;3153;"2022-07-16";"PRO15";1;1;200
8064;12919;2914;"2022-07-16";"PRO15";1;1;200
7867;12239;2234;"2022-07-16";"PRO15";1;1;200
7792;12004;1999;"2022-07-16";"PRO15";1;1;200
7648;11518;1513;"2022-07-16";"PRO15";1;1;200
7585;11307;1302;"2022-07-16";"PRO15";1;1;200
7387;10615;610;"2022-07-16";"PRO15";1;1;200
7384;10605;600;"2022-07-16";"PRO15";1;1;200
7347;10473;468;"2022-07-16";"PRO15";1;1;200
11673;15235;5230;"2022-07-16";"PRO16";1;1;180
11594;15104;5099;"2022-07-16";"PRO16";1;1;180
11279;14572;4567;"2022-07-16";"PRO16";1;1;180
11171;14383;4378;"2022-07-16";"PRO16";1;1;180
10794;13724;3719;"2022-07-16";"PRO16";1;1;180
10525;13267;3262;"2022-07-16";"PRO16";1;1;180
10305;12919;2914;"2022-07-16";"PRO16";1;1;180
10100;12580;2575;"2022-07-16";"PRO16";1;1;180
9907;12239;2234;"2022-07-16";"PRO16";1;1;180
9523;11598;1593;"2022-07-16";"PRO16";1;1;180
9492;11541;1536;"2022-07-16";"PRO16";1;1;180
9477;11518;1513;"2022-07-16";"PRO16";1;1;180
9351;11307;1302;"2022-07-16";"PRO16";1;1;180
9305;11228;1223;"2022-07-16";"PRO16";1;1;180
9006;10745;740;"2022-07-16";"PRO16";1;1;180
8930;10615;610;"2022-07-16";"PRO16";1;1;180
8835;10473;468;"2022-07-16";"PRO16";1;1;180
12178;14383;4378;"2022-07-16";"PRO17";1;1;300
