"IDE_VENTA","IDE_PEDIDO","IDE_CLIENTE","IDE_FECHA","IDE_PRODUCTO","IDE_VENDEDOR","NUM_PRECIO_NETO"
1606,15396,5391,"2014-07-21","PRO11",1,85.0
1605,15391,5386,"2014-09-03","PRO11",1,100.0
1604,15390,5385,"2014-10-01","PRO11",1,219.0
1603,15388,5383,"2014-09-25","PRO11",1,136.0
1602,15387,5382,"2014-08-11","PRO11",1,159.0
1601,15385,5380,"2014-10-15","PRO11",1,162.0
1600,15381,5376,"2014-09-19","PRO11",1,122.0
1599,15379,5374,"2014-08-04","PRO11",1,213.0
1598,15372,5367,"2014-09-20","PRO11",1,148.0
1597,15369,5364,"2014-08-20","PRO11",1,250.0
1596,15366,5361,"2014-09-14","PRO11",1,143.0
1595,15365,5360,"2014-09-10","PRO11",1,78.0
1594,15363,5358,"2014-09-01","PRO11",1,306.0
1593,15359,5354,"2014-09-04","PRO11",1,197.0
1592,15353,5348,"2014-10-11","PRO11",1,75.0
1591,15349,5344,"2014-08-09","PRO11",1,249.0
1590,15347,5342,"2014-10-24","PRO11",1,108.0
1589,15345,5340,"2014-10-21","PRO11",1,106.0
1588,15342,5337,"2014-08-12","PRO11",1,308.0
1587,15339,5334,"2014-09-15","PRO11",1,116.0
1586,15330,5325,"2014-09-20","PRO11",1,109.0
1585,15328,5323,"2014-09-19","PRO11",1,98.0
1584,15320,5315,"2014-09-18","PRO11",1,91.0
1583,15318,5313,"2014-07-18","PRO11",1,110.0
1582,15317,5312,"2014-09-12","PRO11",1,82.0
1581,15312,5307,"2014-08-03","PRO11",1,94.0
1580,15306,5301,"2014-09-20","PRO11",1,128.0
1579,15305,5300,"2014-08-20","PRO11",1,89.0
1578,15304,5299,"2014-08-22","PRO11",1,243.0
1577,15303,5298,"2014-10-07","PRO11",1,119.0
1576,15299,5294,"2014-07-22","PRO11",1,299.0
1575,15298,5293,"2014-10-10","PRO11",1,96.0
1574,15292,5287,"2014-10-20","PRO11",1,120.0
1573,15288,5283,"2014-10-03","PRO11",1,158.0
1572,15281,5276,"2014-07-30","PRO11",1,140.0
1571,15279,5274,"2014-09-25","PRO11",2,98.0
1570,15271,5266,"2014-10-19","PRO11",2,187.0
1569,15268,5263,"2014-07-25","PRO11",2,118.0
