DestinoExportacion;Anno2019;Anno2020;Anno2021;Anno2022;Anno2023;CAGR_19_23
Estados Unidos;26,7;25,7;29,0;33,9;42,6;12%
Puerto Rico;2,6;2,0;1,8;2,1;2,8;1%
España;0,6;0,5;0,7;1,0;1,9;32%
Reino Unido-No UE;0,0;3,3;3,3;1,2;1,4;No aplica
Holanda;1,6;0,3;0,3;0,3;0,9;-15%
Canadá;0,3;0,3;0,5;0,3;0,5;11%
Panamá;0,1;0,0;0,0;0,0;0,4;69%
Alemania;0,0;0,0;0,0;0,0;0,2;1261%
Aruba;0,1;0,1;0,1;0,1;0,2;11%
México;0,0;0,0;0,0;0,0;0,1;31%
Curacao;0,1;0,1;0,1;0,0;0,1;3%
Australia;0,1;0,2;0,2;0,2;0,1;-4%
Italia;0,0;0,0;0,0;0,0;0,1;No aplica
Ucrania;0,0;0,0;0,0;0,1;0,0;No aplica
Israel;0,0;0,0;0,0;0,0;0,0;No aplica
República Dominicana;0,0;0,0;0,0;0,0;0,0;No aplica
Trinidad y Tobago;0,0;0,0;0,0;0,0;0,0;No aplica
Portugal;0,0;0,0;0,0;0,0;0,0;No aplica
Guadalupe;0,0;0,0;0,0;0,0;0,0;-30%
Uruguay;0,0;0,0;0,0;0,0;0,0;No aplica
Guayana Francesa;0,0;0,0;0,0;0,0;0,0;No aplica
Francia;0,0;0,0;0,0;1,5;0,0;No aplica
Bélgica;0,4;0,5;0,4;0,1;0,0;-100%
Perú;0,0;0,0;0,0;0,0;0,0;No aplica
Chile;0,0;0,0;0,0;0,0;0,0;No aplica
Bermudas;0,0;0,0;0,0;0,0;0,0;No aplica
Argentina;0,0;0,0;0,0;0,0;0,0;-100%
Antillas Holandesas;0,0;0,0;0,0;0,0;0,0;No aplica
Irlanda;0,0;0,0;0,0;0,0;0,0;No aplica
Reino Unido-UE;3,4;0,0;0,0;0,0;0,0;-100%
Total general;36,2;33,2;36,6;41,0;51,3;9%
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
