DestinosExportacion;Valor_Anno2019;Valor_Anno2020;Valor_Anno2021;Valor_Anno2022;Valor_Anno2023;Valor_CAGR_1923
Estados Unidos;31,2;31,2;30,3;40,0;50,4;13%
Holanda;9,5;9,3;14,6;17,4;23,5;25%
España;6,2;8,3;6,0;3,0;5,3;-4%
Francia;1,0;1,2;1,2;3,4;5,3;51%
Canadá;1,0;1,0;1,5;1,9;2,6;27%
Reino Unido-No UE;0,0;1,1;1,7;1,6;2,1;No aplica
Bélgica;4,0;1,9;2,1;1,4;1,2;-26%
Puerto Rico;1,1;1,1;1,0;0,9;0,8;-8%
Portugal;3,0;3,1;2,1;0,3;0,2;-48%
México;0,0;0,0;0,1;0,0;0,1;43%
Colombia;0,0;0,0;0,1;0,1;0,1;No aplica
Guadalupe;0,4;0,1;0,0;0,1;0,1;-32%
Australia;0,0;0,0;0,0;0,0;0,1;No aplica
Túnez;0,0;0,0;0,0;0,0;0,0;No aplica
Martinica;0,1;0,0;0,0;0,1;0,0;-19%
Guatemala;0,0;0,0;0,0;0,0;0,0;59%
Aruba;0,1;0,0;0,0;0,0;0,0;-24%
Honduras;0,0;0,0;0,0;0,0;0,0;101%
Egipto;0,0;0,0;0,0;0,0;0,0;No aplica
San Martín;0,0;0,0;0,0;0,0;0,0;No aplica
Panamá;0,0;0,0;0,0;0,0;0,0;19%
Turquía;0,0;0,0;0,0;0,0;0,0;No aplica
Italia;0,1;0,1;0,1;0,0;0,0;-71%
Argentina;0,0;0,1;0,0;0,0;0,0;-100%
República Dominicana;0,0;0,0;0,0;0,0;0,0;-100%
Malta;0,0;0,0;0,0;0,0;0,0;No aplica
Ecuador;0,1;0,0;0,0;0,0;0,0;-100%
Rusia;0,0;0,0;0,0;0,0;0,0;-100%
Alemania;0,1;0,0;0,0;0,0;0,0;-100%
Taiwán;0,0;0,0;0,0;0,0;0,0;-100%
Corea del Sur;0,0;0,0;0,0;0,0;0,0;-100%
Reino Unido-UE;1,5;0,0;0,0;0,0;0,0;-100%
Ucrania;0,0;0,0;0,0;0,0;0,0;No aplica
Hong Kong;0,0;0,0;0,0;0,0;0,0;-100%
China;0,0;0,0;0,0;0,0;0,0;-100%
Total general;59,6;58,6;61,0;70,2;92,0;11%
